"DATE","TIME PERIOD","Compounded euro short-term rate average rate, 12 months tenor (EST.B.EU000A2QQF57.CR)"
"2022-04-11","11 Apr 2022","-0.56998"
"2022-04-12","12 Apr 2022","-0.57005"
"2022-04-13","13 Apr 2022","-0.57009"
"2022-04-14","14 Apr 2022","-0.57015"
"2022-04-19","19 Apr 2022","-0.57045"
"2022-04-20","20 Apr 2022","-0.57048"
"2022-04-21","21 Apr 2022","-0.57053"
"2022-04-22","22 Apr 2022","-0.57058"
"2022-04-25","25 Apr 2022","-0.57068"
"2022-04-26","26 Apr 2022","-0.57078"
"2022-04-27","27 Apr 2022","-0.57082"
"2022-04-28","28 Apr 2022","-0.57089"
"2022-04-29","29 Apr 2022","-0.57093"
"2022-05-02","02 May 2022","-0.57110"
"2022-05-03","03 May 2022","-0.57112"
"2022-05-04","04 May 2022","-0.57115"
"2022-05-05","05 May 2022","-0.57121"
"2022-05-06","06 May 2022","-0.57126"
"2022-05-09","09 May 2022","-0.57137"
"2022-05-10","10 May 2022","-0.57150"
"2022-05-11","11 May 2022","-0.57154"
"2022-05-12","12 May 2022","-0.57160"
"2022-05-13","13 May 2022","-0.57163"
"2022-05-16","16 May 2022","-0.57175"
"2022-05-17","17 May 2022","-0.57187"
"2022-05-18","18 May 2022","-0.57192"
"2022-05-19","19 May 2022","-0.57200"
"2022-05-20","20 May 2022","-0.57206"
"2022-05-23","23 May 2022","-0.57217"
"2022-05-24","24 May 2022","-0.57229"
"2022-05-25","25 May 2022","-0.57235"
"2022-05-26","26 May 2022","-0.57241"
"2022-05-27","27 May 2022","-0.57248"
"2022-05-30","30 May 2022","-0.57258"
"2022-05-31","31 May 2022","-0.57269"
"2022-06-01","01 Jun 2022","-0.57274"
"2022-06-02","02 Jun 2022","-0.57279"
"2022-06-03","03 Jun 2022","-0.57285"
"2022-06-06","06 Jun 2022","-0.57297"
"2022-06-07","07 Jun 2022","-0.57312"
"2022-06-08","08 Jun 2022","-0.57317"
"2022-06-09","09 Jun 2022","-0.57322"
"2022-06-10","10 Jun 2022","-0.57327"
"2022-06-13","13 Jun 2022","-0.57335"
"2022-06-14","14 Jun 2022","-0.57344"
"2022-06-15","15 Jun 2022","-0.57348"
"2022-06-16","16 Jun 2022","-0.57353"
"2022-06-17","17 Jun 2022","-0.57359"
"2022-06-20","20 Jun 2022","-0.57367"
"2022-06-21","21 Jun 2022","-0.57379"
"2022-06-22","22 Jun 2022","-0.57384"
"2022-06-23","23 Jun 2022","-0.57388"
"2022-06-24","24 Jun 2022","-0.57392"
"2022-06-27","27 Jun 2022","-0.57398"
"2022-06-28","28 Jun 2022","-0.57408"
"2022-06-29","29 Jun 2022","-0.57412"
"2022-06-30","30 Jun 2022","-0.57415"
"2022-07-01","01 Jul 2022","-0.57418"
"2022-07-04","04 Jul 2022","-0.57423"
"2022-07-05","05 Jul 2022","-0.57434"
"2022-07-06","06 Jul 2022","-0.57438"
"2022-07-07","07 Jul 2022","-0.57442"
"2022-07-08","08 Jul 2022","-0.57446"
"2022-07-11","11 Jul 2022","-0.57450"
"2022-07-12","12 Jul 2022","-0.57460"
"2022-07-13","13 Jul 2022","-0.57464"
"2022-07-14","14 Jul 2022","-0.57468"
"2022-07-15","15 Jul 2022","-0.57472"
"2022-07-18","18 Jul 2022","-0.57478"
"2022-07-19","19 Jul 2022","-0.57489"
"2022-07-20","20 Jul 2022","-0.57493"
"2022-07-21","21 Jul 2022","-0.57497"
"2022-07-22","22 Jul 2022","-0.57502"
"2022-07-25","25 Jul 2022","-0.57509"
"2022-07-26","26 Jul 2022","-0.57519"
"2022-07-27","27 Jul 2022","-0.57523"
"2022-07-28","28 Jul 2022","-0.57393"
"2022-07-29","29 Jul 2022","-0.57262"
"2022-08-01","01 Aug 2022","-0.56871"
"2022-08-02","02 Aug 2022","-0.56739"
"2022-08-03","03 Aug 2022","-0.56609"
"2022-08-04","04 Aug 2022","-0.56478"
"2022-08-05","05 Aug 2022","-0.56345"
"2022-08-08","08 Aug 2022","-0.55954"
"2022-08-09","09 Aug 2022","-0.55819"
"2022-08-10","10 Aug 2022","-0.55687"
"2022-08-11","11 Aug 2022","-0.55556"
"2022-08-12","12 Aug 2022","-0.55425"
"2022-08-15","15 Aug 2022","-0.55040"
